ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,City,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,Management Occupations,2021,2021,04000US37,North Carolina,59192,2013.7060361433098,1.1716352121164684,Charlotte,16000US3712000,charlotte-nc,155509,8458,56933,3.967821825654717,148297,4.863213686048942,12.631399244574379
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,Business & Financial Operations Occupations,2021,2021,04000US37,North Carolina,44011,2044.9376518612983,1.6618604274338478,Charlotte,16000US3712000,charlotte-nc,153171,7344,43732,0.6379767675843776,142977,7.129818082628675,9.391818356415783
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,Computer & Mathematical Occupations,2021,2021,04000US37,North Carolina,24811,1260.8647825996252,1.5617730131325207,Charlotte,16000US3712000,charlotte-nc,166301,8399,24626,0.7512385283846341,157421,5.640924654271031,5.294594652269478
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,Architecture & Engineering Occupations,2021,2021,04000US37,North Carolina,8792,943.0084835249363,0.9095566839209405,Charlotte,16000US3712000,charlotte-nc,159926,11507,8195,7.284929835265405,149415,7.034768932168792,1.876187021190329
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2021,2021,04000US37,North Carolina,2581,354.6336137480484,0.5280738556721416,Charlotte,16000US3712000,charlotte-nc,138970,24554,2431,6.170300287947347,122670,13.287682399934782,0.550777832
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,Community & Social Service Occupations,2021,2021,04000US37,North Carolina,8846,932.5368625421731,1.0566772253309447,Charlotte,16000US3712000,charlotte-nc,92674,7575,8377,5.598663006,90831,2.0290429478922394,1.8877104628582404
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,Legal Occupations,2021,2021,04000US37,North Carolina,7012,752.1123586273529,1.2799237370653902,Charlotte,16000US3712000,charlotte-nc,246865,29954,7072,-0.84841629,228868,7.863484628694269,1.4963402402850985
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2021,2021,04000US37,North Carolina,24153,1452.3284752424295,0.835882426,Charlotte,16000US3712000,charlotte-nc,87158,4593,24564,-1.673180264,84363,3.3130637838863013,5.154179381575298
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2021,2021,04000US37,North Carolina,10203,832.7694759055473,1.0643683031814934,Charlotte,16000US3712000,charlotte-nc,86227,8984,10141,0.6113795483680111,79032,9.103907278,2.1772902840314976
0,"Management, Business, Science, & Arts Occupations",3,Healthcare Practitioners & Technical Occupations,9,Health Diagnosing & Treating Practitioners & Other Technical Occupations,2021,2021,04000US37,North Carolina,14996,908.5482926074981,0.7550039406645663,Charlotte,16000US3712000,charlotte-nc,202219,31319,14564,2.966218071958253,200959,0.6269935658517409,3.2001024305926036
