,Complaint_No,Property_Crimes,Location_Type,Zipcode,Property_No,Property_type,Property_Desc,2010 Pop,Median Household Income,Victim_Age,Victim_Gender,Victim_Ethnic,DATE,EVENT_TYPE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,time_diff,weather_id
5810,20120701220002,Shoplifting,Indoors,28216,1.0,Alcoholic Beverage,Consumable Goods,47227,53462.0,,,,2012-07-01,Hail,35.13333333333333,-80.74076666666667,35.13333333333333,-80.74076666666667,0 days 00:16:00,30.0
5811,20120701220002,Shoplifting,Indoors,28216,1.0,Alcoholic Beverage,Consumable Goods,47227,53462.0,,,,2012-07-01,Lightning,35.34,-80.81,35.34,-80.81,0 days 00:15:00,59.0
5812,20120701220002,Shoplifting,Indoors,28216,1.0,Alcoholic Beverage,Consumable Goods,47227,53462.0,,,,2012-07-01,Thunderstorm Wind,35.32,-80.8,35.18,-80.655,0 days 00:19:00,82.0
5816,20120701224501,Arson,Indoors,28205,1.0,Dwelling: Multi-Family,Structures,43931,61525.0,42.0,F,Black                          Other/Not Listed,2012-07-01,Hail,35.13333333333333,-80.74076666666667,35.13333333333333,-80.74076666666667,0 days 00:16:00,30.0
5817,20120701224501,Arson,Indoors,28205,1.0,Dwelling: Multi-Family,Structures,43931,61525.0,42.0,F,Black                          Other/Not Listed,2012-07-01,Lightning,35.34,-80.81,35.34,-80.81,0 days 00:15:00,59.0
5818,20120701224501,Arson,Indoors,28205,1.0,Dwelling: Multi-Family,Structures,43931,61525.0,42.0,F,Black                          Other/Not Listed,2012-07-01,Thunderstorm Wind,35.32,-80.8,35.18,-80.655,0 days 00:19:00,82.0
5819,20120701224501,Arson,Indoors,28205,1.0,Dwelling: Multi-Family,Structures,43931,61525.0,49.0,M,Black                          Other/Not Listed,2012-07-01,Hail,35.13333333333333,-80.74076666666667,35.13333333333333,-80.74076666666667,0 days 00:16:00,30.0
5820,20120701224501,Arson,Indoors,28205,1.0,Dwelling: Multi-Family,Structures,43931,61525.0,49.0,M,Black                          Other/Not Listed,2012-07-01,Lightning,35.34,-80.81,35.34,-80.81,0 days 00:15:00,59.0
5821,20120701224501,Arson,Indoors,28205,1.0,Dwelling: Multi-Family,Structures,43931,61525.0,49.0,M,Black                          Other/Not Listed,2012-07-01,Thunderstorm Wind,35.32,-80.8,35.18,-80.655,0 days 00:19:00,82.0
5822,20120701224501,Arson,Indoors,28205,1.0,Dwelling: Multi-Family,Structures,43931,61525.0,,M,Unknown                        Unknown/Refused,2012-07-01,Hail,35.13333333333333,-80.74076666666667,35.13333333333333,-80.74076666666667,0 days 00:16:00,30.0
