EVENT_TYPE,date,BEGIN_DATETIME,END_DATETIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,time_diff,EVENT_TYPE_col,date,weather_id
Flash Flood,2011-08-05,2011-08-05 12:30:00,2011-08-05 14:30:00.000,35.211000000000006,-80.81033333333333,35.196666666666665,-80.71633333333334,0 days 02:00:00,Flash Flood,2011-08-05,1
Flash Flood,2011-09-23,2011-09-23 08:45:00,2011-09-23 10:45:00.000,35.2037,-80.7787,35.20225,-80.78014999999999,0 days 02:00:00,Flash Flood,2011-09-23,2
Flash Flood,2012-07-20,2012-07-20 16:15:00,2012-07-20 18:00:00.000,35.1515,-80.8035,35.149,-80.804,0 days 01:45:00,Flash Flood,2012-07-20,3
Flash Flood,2012-08-07,2012-08-07 19:10:00,2012-08-07 20:30:00.000,35.168499999999995,-80.887,35.153999999999996,-80.904,0 days 01:20:00,Flash Flood,2012-08-07,4
Flash Flood,2012-09-08,2012-09-08 17:15:00,2012-09-08 18:15:00.000,35.171,-80.784,35.171,-80.786,0 days 01:00:00,Flash Flood,2012-09-08,5
Flash Flood,2013-06-03,2013-06-03 03:30:00,2013-06-03 04:30:00.000,35.324,-80.73,35.321,-80.733,0 days 01:00:00,Flash Flood,2013-06-03,6
Flash Flood,2013-06-28,2013-06-28 20:30:00,2013-06-28 23:00:00.000,35.5005,-80.8825,35.479,-80.8925,0 days 02:30:00,Flash Flood,2013-06-28,7
Flash Flood,2013-07-11,2013-07-11 09:46:00,2013-07-11 12:00:00.000,35.26,-80.8815,35.242999999999995,-80.88900000000001,0 days 02:14:00,Flash Flood,2013-07-11,8
Flash Flood,2013-07-21,2013-07-21 18:20:00,2013-07-21 19:30:00.000,35.194,-80.756,35.167,-80.801,0 days 01:10:00,Flash Flood,2013-07-21,9
Flash Flood,2013-07-24,2013-07-24 18:15:00,2013-07-24 19:15:00.000,35.163,-80.848,35.134,-80.846,0 days 01:00:00,Flash Flood,2013-07-24,10
Flash Flood,2014-07-03,2014-07-03 19:30:00,2014-07-03 21:00:00.000,35.2364,-80.9191,35.2499,-80.8827,0 days 01:30:00,Flash Flood,2014-07-03,11
Flash Flood,2014-07-15,2014-07-15 17:15:00,2014-07-15 18:45:00.000,35.1318,-80.7526,35.1342,-80.7056,0 days 01:30:00,Flash Flood,2014-07-15,12
Flash Flood,2015-04-19,2015-04-19 18:25:00,2015-04-19 21:30:00.000,35.245,-80.741,35.288,-80.821,0 days 03:05:00,Flash Flood,2015-04-19,13
Flash Flood,2015-10-03,2015-10-03 08:36:00,2015-10-03 10:00:00.000,35.334,-80.716,35.335,-80.713,0 days 01:24:00,Flash Flood,2015-10-03,14
Flash Flood,2015-12-22,2015-12-22 05:30:00,2015-12-22 08:00:00.000,35.17,-80.788,35.222,-80.8,0 days 02:30:00,Flash Flood,2015-12-22,15
Flash Flood,2015-12-30,2015-12-30 12:00:00,2015-12-30 16:00:00.000,35.412,-80.869,35.381,-80.827,0 days 04:00:00,Flash Flood,2015-12-30,16
Flash Flood,2016-09-26,2016-09-26 06:00:00,2016-09-26 07:30:00.000,35.234,-80.872,35.254,-80.809,0 days 01:30:00,Flash Flood,2016-09-26,17
Flood,2015-11-02,2015-11-02 11:10:00,2015-11-02 18:00:00.000,35.230000000000004,-80.8735,35.2495,-80.85,0 days 06:50:00,Flood,2015-11-02,18
Flood,2015-12-30,2015-12-30 16:00:00,2015-12-30 19:00:00.000,35.412,-80.869,35.381,-80.827,0 days 03:00:00,Flood,2015-12-30,19
Hail,2011-04-05,2011-04-05 05:05:00,2011-04-05 10:02:00.000,35.3,-80.89,35.3,-80.89,0 days 04:57:00,Hail,2011-04-05,20
Hail,2011-04-09,2011-04-09 16:43:00,2011-04-09 18:30:00.000,35.11333333333334,-80.91666666666667,35.11,-80.89666666666666,0 days 01:47:00,Hail,2011-04-09,21
Hail,2011-05-10,2011-05-10 22:30:00,2011-05-10 23:33:00.000,35.342,-80.80433333333333,35.342,-80.80433333333333,0 days 01:03:00,Hail,2011-05-10,22
Hail,2011-05-11,2011-05-11 23:45:00,2011-05-12 00:43:40.000,35.24,-80.74,35.24,-80.74,0 days 00:58:40,Hail,2011-05-11,23
Hail,2011-06-09,2011-06-09 15:10:00,2011-06-09 15:55:00.000,35.2325,-80.76325,35.2325,-80.76325,0 days 00:45:00,Hail,2011-06-09,24
Hail,2011-06-10,2011-06-10 16:40:00,2011-06-10 17:38:40.000,35.16,-80.78,35.16,-80.78,0 days 00:58:40,Hail,2011-06-10,25
Hail,2011-06-21,2011-06-21 21:42:00,2011-06-21 22:40:40.000,35.24,-80.93,35.24,-80.93,0 days 00:58:40,Hail,2011-06-21,26
